SRNO,REGIONAL CENTRE,AI-CODE AND NAME,TOTAL STUDENTS UPLOADED TMA,TOTAL TMA UPLOADED,TOTAL ALLOCATED SUBJECTS,TOTAL UN-ALLOCATED SUBJECTS,TOTAL EVALUATED SUBJECTS,TOTAL ALLOCATED UN-EVALUATED SUBJECTS,PRE-ALLOCATED,PRE-EVALUATED
463,103-KOLKATA,220129-Swami Vivekananda Vidyamandir,49,239,171,68,35,136,71.55,14.64
464,114-DEHRADUN,340277-Matrabhumi Inter College,53,238,238,0,238,0,100,100
465,107-DELHI,M27481-GURU NANAK PUBLIC SCHOOL,52,237,0,237,0,0,0,0
466,107-DELHI,210440-S S International School,52,237,5,232,5,0,2.11,2.11
467,107-DELHI,270332-Citizen Model School,48,236,234,2,232,2,99.15,98.31
468,107-DELHI,210439-S S K Sr.sec.school,58,236,231,5,97,134,97.88,41.1
469,109-JAIPUR,170123-Shishu Bharti Sr.sec.school,51,236,231,5,228,3,97.88,96.61
470,118-GANDHINAGAR,390115-Prizam School Of Science,48,235,235,0,233,2,100,99.15
471,115-BHUBANESWAR,450122-Srusti Society For Rural,41,234,233,1,231,2,99.57,98.72
472,109-JAIPUR,170250-Swami Vivekanand Sr.sec. School,41,234,234,0,234,0,100,100
473,114-DEHRADUN,210403-Khalsa Public Inter College,56,234,234,0,234,0,100,100
474,104-GUWAHATI,130001-Kendriya Vidyalaya,53,234,234,0,230,4,100,98.29
475,107-DELHI,270447-D.R.P. Convent Secondary School,49,233,233,0,233,0,100,100
476,107-DELHI,270513-Joseph & Mary  Senior Secondary School,49,233,0,233,0,0,0,0
477,107-DELHI,270147-Mount St. Mary's,51,232,231,1,230,1,99.57,99.14
478,107-DELHI,050255-Tarun Niketan Sr.secondary School,49,232,0,232,0,0,0,0
479,108-ABROAD/NIOS HQ,950018-Time Training Centre,46,232,232,0,232,0,100,100
480,113-BHOPAL,M10228-Deniyat Fadeha  Madarsa,46,232,119,113,0,119,51.29,0
481,121-CHENNAI,190102-Vels Vidyashram,58,231,208,23,201,7,90.04,87.01
482,107-DELHI,210510-Campus School,54,230,230,0,132,98,100,57.39
483,105-CHANDIGARH,"250003-Shivalik Public School, Mohali",50,228,228,0,227,1,100,99.56
484,107-DELHI,270290-Prince Public School Sr. Sec.school,50,228,0,228,0,0,0,0
485,113-BHOPAL,100184-Sarvodaya Higher Secondary School,54,228,228,0,165,63,100,72.37
486,105-CHANDIGARH,050058-Yog High School,48,227,227,0,227,0,100,100
487,115-BHUBANESWAR,150005-Redwoods English School,42,226,226,0,183,43,100,80.97
488,114-DEHRADUN,340003-Children's Academy,50,224,2,222,2,0,0.89,0.89
