SRNO,REGIONAL CENTRE,AI-CODE AND NAME,TOTAL STUDENTS UPLOADED TMA,TOTAL TMA UPLOADED,TOTAL ALLOCATED SUBJECTS,TOTAL UN-ALLOCATED SUBJECTS,TOTAL EVALUATED SUBJECTS,TOTAL ALLOCATED UN-EVALUATED SUBJECTS,PRE-ALLOCATED,PRE-EVALUATED
1269,107-DELHI,210650-Bhagirath Public School,9,43,0,43,0,0,0,0
1270,114-DEHRADUN,340185-Will Field School,12,43,43,0,43,0,100,100
1271,111-ALLAHABAD/PRAYAGRAJ,210783-Jim Corbett Public School,9,43,22,21,9,13,51.16,20.93
1272,121-CHENNAI,190062-Govt. Boys Higher Secondary School,12,43,0,43,0,0,0,0
1273,107-DELHI,270504-Yuvashakti Model School,11,43,40,3,40,0,93.02,93.02
1274,114-DEHRADUN,340200-Govt. Inter College,12,43,0,43,0,0,0,0
1275,109-JAIPUR,170395-Swami Shree Niwas Acharya Shikshan,9,43,43,0,34,9,100,79.07
1276,117-BENGALURU,M08060-Orchids The International School,9,43,43,0,27,16,100,62.79
1277,102-PUNE,110141-Sree Narayana Guru College of Commerce,8,43,40,3,35,5,93.02,81.4
1278,118-GANDHINAGAR,040045-Saraswat International Academy,9,43,43,0,28,15,100,65.12
1279,114-DEHRADUN,340170-Rashtriya Inter College,8,43,0,43,0,0,0,0
1280,110-PATNA,030150-Rajkiyakrit Rajput Ucch Vidyalaya,9,43,25,18,6,19,58.14,13.95
1281,103-KOLKATA,220113-Devaki Memorial School,10,43,43,0,43,0,100,100
1282,125-JAMMU,M07049-Muslim Institute Of Education,9,42,11,31,1,10,26.19,2.38
1283,109-JAIPUR,170240-Govind Vidya Mandir Hr.sec. School,12,42,42,0,42,0,100,100
1284,110-PATNA,J03014-District Jail,8,42,42,0,42,0,100,100
1285,103-KOLKATA,M22099-Asansol St.Anthony Secondary School,7,42,0,42,0,0,0,0
1286,102-PUNE,110148-Indira National School,11,42,42,0,41,1,100,97.62
1287,106-KOCHI,M40035-Darul Hikam Residential School,9,42,42,0,16,26,100,38.1
1288,117-BENGALURU,M38164-Daffodils High School,8,42,42,0,42,0,100,100
1289,111-ALLAHABAD/PRAYAGRAJ,210138-Ajay Girls Inter College,11,42,42,0,11,31,100,26.19
1290,105-CHANDIGARH,050066-Dharamvati Public Sr. Sec. School,10,42,42,0,9,33,100,21.43
1291,118-GANDHINAGAR,390157-Chavda S J And Shah S B High School,7,42,42,0,42,0,100,100
1292,103-KOLKATA,M22095-Abbot Shishu Hall,8,42,0,42,0,0,0,0
1293,120-RANCHI,260125-Rajkiyakrit  +2 High School,10,42,11,31,5,6,26.19,11.9
1294,111-ALLAHABAD/PRAYAGRAJ,210324-Maharishi Arvind Shikshan Sansthan,8,42,40,2,6,34,95.24,14.29
1295,114-DEHRADUN,340271-Govt. Inter College,8,42,0,42,0,0,0,0
1296,113-BHOPAL,M10174-Madarsa Firdos Hr.sec.study Center,7,41,0,41,0,0,0,0
1297,115-BHUBANESWAR,J15159-District Jail,10,41,32,9,23,9,78.05,56.1
1298,111-ALLAHABAD/PRAYAGRAJ,210789-Vikas Bharti School,10,41,16,25,13,3,39.02,31.71
1299,110-PATNA,"030314-Sitamarhi Inter +2 College,",8,41,35,6,1,34,85.37,2.44
1300,106-KOCHI,M40071-Gods Own Public School,8,41,41,0,41,0,100,100
1301,107-DELHI,M27479-Khadijatul Kubra Girls Public Sch.,11,41,41,0,41,0,100,100
1302,105-CHANDIGARH,050356-V.B.N. Senior Secondary School,9,41,41,0,30,11,100,73.17
1303,104-GUWAHATI,"240005-Govt. Hr.sec. School,",9,41,41,0,28,13,100,68.29
1304,121-CHENNAI,M42004-Saudia Oriental Arabic Hr. Sec. School,10,41,41,0,41,0,100,100
1305,110-PATNA,030335-Rajkiya Inter +2 School,8,41,33,8,14,19,80.49,34.15
1306,105-CHANDIGARH,050506-Aryans Model Sr. Sec. School,9,41,41,0,41,0,100,100
1307,105-CHANDIGARH,050094-Gaur Brahman Vidya Parcharini Sabha,9,41,40,1,15,25,97.56,36.59
1308,111-ALLAHABAD/PRAYAGRAJ,210596-M.G. Convent School,12,41,28,13,6,22,68.29,14.63
1309,114-DEHRADUN,340205-Govt. Pratap Inter College,11,40,0,40,0,0,0,0
1310,117-BENGALURU,450058-Spastic Society Of Karnataka,11,40,40,0,40,0,100,100
1311,106-KOCHI,400050-Kendriya Vidyalaya,8,40,40,0,11,29,100,27.5
1312,118-GANDHINAGAR,390158-Rasiklal Nathulal Shah (Rangwala) Secondary & Higher Secondary School,8,40,40,0,36,4,100,90
1313,107-DELHI,270474-Indian Convent School,7,40,40,0,40,0,100,100
1314,105-CHANDIGARH,050585-KVM PUBLIC SCHOOL,8,40,40,0,15,25,100,37.5
1315,109-JAIPUR,170249-Adarsh Ucch Madhyamik Bal Vidyalaya,9,40,37,3,36,1,92.5,90
1316,109-JAIPUR,170389-Floradale Public School,9,40,29,11,8,21,72.5,20
1317,111-ALLAHABAD/PRAYAGRAJ,210189-Sant Ramkrishan Kanya Intercollege,10,39,30,9,14,16,76.92,35.9
1318,120-RANCHI,450032-Manthan Yuva Sangathan,8,39,31,8,31,0,79.49,79.49
1319,114-DEHRADUN,340250-Bhagirathi Vidyalaya,8,39,39,0,39,0,100,100
1320,106-KOCHI,400040-Kendriya Vidyalaya No-2,8,39,39,0,15,24,100,38.46
1321,111-ALLAHABAD/PRAYAGRAJ,210741-Florets International School,8,39,24,15,13,11,61.54,33.33
1322,109-JAIPUR,170230-Sh. Ram Karan Joshi Govt. Hr. Sec.,9,39,39,0,39,0,100,100
1323,104-GUWAHATI,440009-Sree Narasinghasthan High School,8,39,38,1,28,10,97.44,71.79
1324,103-KOLKATA,220120-AGPN Convent & E.R. School,8,39,0,39,0,0,0,0
1325,107-DELHI,210233-National Public Sr.sec.school,9,39,0,39,0,0,0,0
1326,121-CHENNAI,M19042-Montfort Matric Hr.sec. School,18,39,38,1,24,14,97.44,61.54
1327,102-PUNE,110006-St.joseph's Convent Girls H.school,17,39,39,0,34,5,100,87.18
1328,114-DEHRADUN,340128-Govt. Inter College,9,38,0,38,0,0,0,0
1329,102-PUNE,M11078-St. Ursula High School,9,38,38,0,38,0,100,100
1330,107-DELHI,270208-Govt. Sarvodaya Bal Vidyalaya,9,38,0,38,0,0,0,0
1331,105-CHANDIGARH,050588-B.V.N. Sr. Sec. School,8,38,38,0,16,22,100,42.11
1332,121-CHENNAI,190126-R.D. International School,7,38,38,0,35,3,100,92.11
1333,113-BHOPAL,"100075-Vikram Higher Secondary School,",10,38,4,34,0,4,10.53,0
1334,110-PATNA,M03362-Sadar Alam Memorial Sr.sec.school,8,38,38,0,38,0,100,100
1335,108-ABROAD/NIOS HQ,940001-LAURELS EDUCATION SERVICES WILL,8,38,0,38,0,0,0,0
1336,105-CHANDIGARH,160013-D.r.modern Sr. Sec.school,8,38,37,1,11,26,97.37,28.95
1337,115-BHUBANESWAR,150036-150036-Jawahar Navodaya Vidyalaya,9,37,23,14,16,7,62.16,43.24
1338,107-DELHI,270397-Govt. Boys Senior Secondary School,10,37,19,18,16,3,51.35,43.24
1339,104-GUWAHATI,440010-Don Bosco High School,8,37,37,0,31,6,100,83.78
1340,121-CHENNAI,190035-Kendriya Vidyalaya No-2,8,37,1,36,0,1,2.7,0
1341,123-GANGTOK,460531-North Bengal Central School,9,37,37,0,13,24,100,35.14
1342,111-ALLAHABAD/PRAYAGRAJ,210598-T.c. Chandra Inter College,7,37,37,0,37,0,100,100
1343,113-BHOPAL,100183-Maa Sharda Higher Secondary School,7,37,0,37,0,0,0,0
1344,104-GUWAHATI,140022-Kendriya Vidyalaya,8,37,36,1,29,7,97.3,78.38
1345,106-KOCHI,400067-Aliya Senior Secondary School,7,37,37,0,15,22,100,40.54
1346,121-CHENNAI,M38322-Crescent Matric Hr.sec. School,9,37,37,0,37,0,100,100
1347,111-ALLAHABAD/PRAYAGRAJ,450105-Jyoti Badhir Vidyalaya,6,36,36,0,36,0,100,100
1348,111-ALLAHABAD/PRAYAGRAJ,210556-St. Xavier's High School,10,36,36,0,29,7,100,80.56
1349,107-DELHI,050359-Ch. Chain Sukh Sr.sec. School,7,36,0,36,0,0,0,0
1350,113-BHOPAL,J10213-District Jail,9,36,36,0,0,36,100,0
1351,106-KOCHI,400026-Shree Vivekanand Sec.school,9,36,36,0,28,8,100,77.78
1352,103-KOLKATA,220084-Balika Vidya Bhawan,8,36,0,36,0,0,0,0
1353,111-ALLAHABAD/PRAYAGRAJ,M21546-National Public Inter College,8,36,24,12,17,7,66.67,47.22
1354,111-ALLAHABAD/PRAYAGRAJ,210131-St. H.N. Public Inter College,8,36,25,11,16,9,69.44,44.44
1355,105-CHANDIGARH,160115-Anne's School,12,36,35,1,19,16,97.22,52.78
1356,102-PUNE,110124-Gokulnath Sec. & Hr.sec. School,7,36,36,0,35,1,100,97.22
1357,102-PUNE,M11096-St. Felix High School,9,36,36,0,36,0,100,100
1358,121-CHENNAI,190146-APL Global School,17,36,36,0,36,0,100,100
1359,111-ALLAHABAD/PRAYAGRAJ,"210156-Amar Public Inter College,",8,35,23,12,3,20,65.71,8.57
1360,105-CHANDIGARH,050319-Shiv Sr.sec. School,8,35,35,0,24,11,100,68.57
1361,110-PATNA,M03113-Patna Muslim High School Inter Col.,7,35,35,0,10,25,100,28.57
1362,102-PUNE,280013-Kendriya Vidyalaya No.1,7,35,35,0,24,11,100,68.57
1363,107-DELHI,M05365-Ajmat Khan Indian Public School,7,35,35,0,35,0,100,100
1364,107-DELHI,050350-Shanti Niketan Public School,8,35,22,13,21,1,62.86,60
1365,109-JAIPUR,170441-Surya Bal Shiksha Niketan Sr. Sec. School,7,35,33,2,12,21,94.29,34.29
1366,102-PUNE,110049-Shaheed Dunichand T.kalani,8,35,35,0,34,1,100,97.14
1367,114-DEHRADUN,340120-Govt. Inter College,8,35,35,0,35,0,100,100
1368,102-PUNE,110011-Holy Cross Convent High School,8,35,34,1,32,2,97.14,91.43
1369,105-CHANDIGARH,050047-Navyug Public School,7,35,35,0,35,0,100,100
1370,121-CHENNAI,190147-Vedavalli Vidyalaya,7,35,28,7,9,19,80,25.71
1371,107-DELHI,M27489-Jesus Grace Modern School,7,35,0,35,0,0,0,0
1372,110-PATNA,"030348-Town High School,",8,34,23,11,7,16,67.65,20.59
1373,105-CHANDIGARH,050630-Shri Krishna Public School,7,34,34,0,0,34,100,0
1374,104-GUWAHATI,450172-SHISHU SAROTHI CENTRE FOR REHABILITATION AND TRAINING FOR MULTIPLE DISABILITIES,8,34,34,0,29,5,100,85.29
1375,120-RANCHI,260133-+2 Zila School,8,34,0,34,0,0,0,0
1376,111-ALLAHABAD/PRAYAGRAJ,210151-Champa Agarwal Institute Of,8,34,34,0,33,1,100,97.06
1377,105-CHANDIGARH,050074-Maharishi Vidya Mandir,8,34,33,1,13,20,97.06,38.24
1378,107-DELHI,210731-J. D. PUBLIC SCHOOL,7,34,27,7,0,27,79.41,0
1379,105-CHANDIGARH,050556-Guru Nanak Academy,8,34,34,0,34,0,100,100
1380,118-GANDHINAGAR,040103-L D R International School,9,34,33,1,21,12,97.06,61.76
1381,123-GANGTOK,"M22087-Good Shepherd School,",6,34,34,0,34,0,100,100
1382,109-JAIPUR,M17054-Sant Hafiz Public Sec. School,7,34,34,0,30,4,100,88.24
1383,121-CHENNAI,190152-Sri Sankara Vidyalaya Mat. Hr. Sec. School,11,34,34,0,13,21,100,38.24
1384,118-GANDHINAGAR,390156-Shri Vidhyatirth Madhyamik and Ucchatar Madhyamik Shala,6,34,34,0,26,8,100,76.47
1385,102-PUNE,M36148-Anglo Urdu Boys High School & Jr,8,34,34,0,29,5,100,85.29
1386,113-BHOPAL,100239-Alpa Bhashi Higher Secondary School,7,34,0,34,0,0,0,0
1387,118-GANDHINAGAR,040074-Smt. Sandraben Shroff Gnyan Dham School,7,33,33,0,22,11,100,66.67
1388,105-CHANDIGARH,450094-National School For The Handi.sch.,9,33,33,0,25,8,100,75.76
1389,107-DELHI,270201-Delhi Jain Public Sr.sec. School,8,33,0,33,0,0,0,0
1390,109-JAIPUR,170135-Shiv Public Sr.sec. School,8,33,30,3,14,16,90.91,42.42
1391,117-BENGALURU,080023-Swami Vivekananda Vidyashala,7,33,31,2,23,8,93.94,69.7
1392,103-KOLKATA,220123-SAINT CHRISTOPHER'S MISSION SCHOOL,6,33,0,33,0,0,0,0
1393,114-DEHRADUN,M34251-Ranikhet (mission) Inter  College,8,33,0,33,0,0,0,0
1394,103-KOLKATA,460527-Budge Budge St. Paul's Day School,7,33,0,33,0,0,0,0
1395,103-KOLKATA,220121-Army Public School,8,33,0,33,0,0,0,0
1396,125-JAMMU,"070023-Arya Kanya Vidyalaya High School,",7,33,9,24,2,7,27.27,6.06
1397,107-DELHI,270442-Dhruva Public School,8,33,29,4,29,0,87.88,87.88
1398,105-CHANDIGARH,050553-B R International Public School,8,33,33,0,21,12,100,63.64
1399,109-JAIPUR,170378-Pragati Public Sr. Sec. School,6,33,33,0,31,2,100,93.94
1400,114-DEHRADUN,340287-Bright Inter College,8,33,0,33,0,0,0,0
1401,102-PUNE,M11134-St. Mary's High School,7,32,32,0,31,1,100,96.88
1402,105-CHANDIGARH,050518-Aryavart High School,9,32,32,0,32,0,100,100
1403,108-ABROAD/NIOS HQ,"320511-HQ 10 Arty Bde,",8,32,0,32,0,0,0,0
1404,125-JAMMU,M07048-Greenway Public School,7,32,19,13,0,19,59.38,0
1405,117-BENGALURU,T08001-National Skill Training Institute (NSTI),16,32,32,0,12,20,100,37.5
1406,102-PUNE,M11133-MAROTRAO BANSOD JUNIOR COLLEGE,5,32,32,0,29,3,100,90.63
1407,114-DEHRADUN,M21115-H.b.h.high School,10,32,31,1,28,3,96.88,87.5
1408,114-DEHRADUN,M21064-Guru Tegh Bahadur Public School,7,32,28,4,0,28,87.5,0
1409,110-PATNA,030085-Mahavir Inter College,6,32,17,15,0,17,53.13,0
1410,118-GANDHINAGAR,M04037-St. Xavier's Vidya Vihar,7,32,32,0,28,4,100,87.5
1411,114-DEHRADUN,340295-S.N. Memorial Public School,7,32,32,0,32,0,100,100
1412,114-DEHRADUN,M21424-Madarsa Islamia Talimul Quran,7,32,31,1,28,3,96.88,87.5
1413,107-DELHI,"270393-Blooming Dales Public School,",7,32,0,32,0,0,0,0
1414,105-CHANDIGARH,050552-G. R. S. Sr. Sec. School,6,32,32,0,16,16,100,50
1415,114-DEHRADUN,210750-S.D.P.D PUBLIC SCHOOL,6,32,0,32,0,0,0,0
1416,109-JAIPUR,170218-B.r. Khokhar Memorial Sr.sec.school,6,31,28,3,9,19,90.32,29.03
1417,121-CHENNAI,190122-B V M Global School,9,31,28,3,23,5,90.32,74.19
1418,117-BENGALURU,080024-Deccan International School,8,31,31,0,30,1,100,96.77
1419,115-BHUBANESWAR,150201-Times Scholars Gurukul,6,31,22,9,16,6,70.97,51.61
1420,107-DELHI,M27152-St. Xavier School,7,31,0,31,0,0,0,0
1421,109-JAIPUR,170174-Govt. Hr. Sec. School,6,31,28,3,14,14,90.32,45.16
1422,113-BHOPAL,100134-Jawahar Navodaya Vidyalaya,8,31,0,31,0,0,0,0
1423,120-RANCHI,260031-Bokaro Public School,6,31,29,2,29,0,93.55,93.55
1424,106-KOCHI,400052-Kendriya Vidyalaya,6,31,31,0,8,23,100,25.81
1425,103-KOLKATA,220132-Rishi Aurobindo Memorial Academy,6,31,0,31,0,0,0,0
1426,103-KOLKATA,220031-Kendriya Vidyalaya No.1,7,31,0,31,0,0,0,0
1427,117-BENGALURU,080066-Sri Sri Ravishankar Vidya Mandir,8,31,31,0,28,3,100,90.32
1428,115-BHUBANESWAR,150012-Harobino Vidya Bhawan,6,31,27,4,17,10,87.1,54.84
1429,103-KOLKATA,460525-AGPN Convent & E.R. School,6,31,0,31,0,0,0,0
1430,103-KOLKATA,220105-Chakdaha Model School,6,31,0,31,0,0,0,0
1431,120-RANCHI,260197-Sarala Birla Public School,7,31,31,0,20,11,100,64.52
1432,118-GANDHINAGAR,M39063-St.mary's School,9,31,31,0,30,1,100,96.77
1433,114-DEHRADUN,210048-Rab Intermediate College,7,31,1,30,1,0,3.23,3.23
1434,113-BHOPAL,M10095-Adivasi & Viklang Hr.sec.school,7,30,30,0,30,0,100,100
1435,109-JAIPUR,170089-Sumitra Memorial Public School,6,30,30,0,10,20,100,33.33
1436,105-CHANDIGARH,050224-Harsh Public Sr.sec.school,6,30,30,0,30,0,100,100
1437,104-GUWAHATI,M13018-Ferrando Speech and Hearing Centre,6,30,30,0,30,0,100,100
1438,121-CHENNAI,"190028-Kendriya Vidyalaya,",7,30,30,0,26,4,100,86.67
1439,111-ALLAHABAD/PRAYAGRAJ,210419-Career Convent Girls College,6,30,11,19,0,11,36.67,0
1440,118-GANDHINAGAR,390123-Jay Ambe International School,7,30,30,0,23,7,100,76.67
1441,105-CHANDIGARH,050591-Ideal International School,7,30,30,0,30,0,100,100
1442,110-PATNA,030091-Jayanand Ucch Vidyalaya,6,30,30,0,30,0,100,100
1443,109-JAIPUR,170131-Badhal Sunrise Senior Secondary,7,30,30,0,30,0,100,100
1444,103-KOLKATA,220058-Paranami Balika Vidya Mandir,5,30,0,30,0,0,0,0
1445,107-DELHI,270094-Siddharth International Pub.School,8,30,0,30,0,0,0,0
1446,101-HYDERABAD,470005-St. Philomena High School,8,30,29,1,29,0,96.67,96.67
1447,114-DEHRADUN,340006-Children's Sr. Academy,6,30,0,30,0,0,0,0
1448,110-PATNA,"030338-Madwari Inter +2 College,",7,30,25,5,6,19,83.33,20
1449,121-CHENNAI,190034-Kendriya Vidyalaya No-1,10,30,0,30,0,0,0,0
1450,109-JAIPUR,"170100-Kendriya Vidyalaya No. 2,",8,30,14,16,5,9,46.67,16.67
1451,107-DELHI,270247-Universal Public School,8,30,0,30,0,0,0,0
1452,105-CHANDIGARH,050526-Green Fields Public School,6,29,28,1,5,23,96.55,17.24
1453,121-CHENNAI,190030-Kendriya Vidyalaya,8,29,29,0,27,2,100,93.1
1454,110-PATNA,030326-Rajkiya +2 High School,7,29,23,6,4,19,79.31,13.79
1455,121-CHENNAI,420063-Kendriya Vidyalaya,6,29,24,5,4,20,82.76,13.79
1456,105-CHANDIGARH,050516-Galaxy International School,6,29,29,0,20,9,100,68.97
1457,104-GUWAHATI,M02067-AUXILIUM CONVENT HIGH SCHOOL,7,29,29,0,29,0,100,100
1458,109-JAIPUR,170310-Vidyagram International School,5,29,20,9,8,12,68.97,27.59
1459,104-GUWAHATI,"020043-Kendriya Vidyalaya ONGC,",8,29,29,0,22,7,100,75.86
1460,121-CHENNAI,190065-P.k. Govt. Girls Hr.sec. School,6,29,29,0,16,13,100,55.17
1461,110-PATNA,M38224-Khalikum  Nisha Sajjad Millat,6,29,4,25,1,3,13.79,3.45
1462,110-PATNA,"030257-+2 Zila School,",6,29,19,10,2,17,65.52,6.9
1463,114-DEHRADUN,340262-V.m.j.s. Govt. Inter College,7,29,0,29,0,0,0,0
1464,121-CHENNAI,190129-Manchester International School,6,29,3,26,0,3,10.34,0
1465,110-PATNA,030079-Gandhi Inter Vidyalay,7,29,27,2,3,24,93.1,10.34
1466,106-KOCHI,400022-Trinity Lyceum,6,29,29,0,26,3,100,89.66
1467,104-GUWAHATI,130030-Army Public School,6,29,29,0,29,0,100,100
1468,121-CHENNAI,190164-Good Word Public School,8,29,29,0,29,0,100,100
1469,120-RANCHI,260138-+2 R.k. High School,6,29,26,3,14,12,89.66,48.28
1470,107-DELHI,210575-Braham Rishi Krishan Dutt Inter,7,29,0,29,0,0,0,0
1471,114-DEHRADUN,M21653-Pragati Senior Secondary School,6,29,0,29,0,0,0,0
1472,105-CHANDIGARH,050326-City Sr.sec.school,6,29,29,0,17,12,100,58.62
1473,113-BHOPAL,M10203-Madarsa Hazrat Bilal,6,29,29,0,3,26,100,10.34
1474,125-JAMMU,070009-Govt. Higher Secondary School,6,29,5,24,0,5,17.24,0
1475,107-DELHI,270561-Holy World School,7,29,29,0,29,0,100,100
1476,125-JAMMU,070056-Army Public School,6,28,26,2,2,24,92.86,7.14
1477,109-JAIPUR,170402-Shanti Niketan Sr. Sec. School,6,28,27,1,27,0,96.43,96.43
1478,105-CHANDIGARH,160054-A.v.m Senior Secondary School,6,28,28,0,11,17,100,39.29
1479,108-ABROAD/NIOS HQ,320103-HQ 33 CORPS HRDC,7,28,0,28,0,0,0,0
1480,105-CHANDIGARH,050158-M.d.n.sr.sec.school,7,28,28,0,21,7,100,75
1481,103-KOLKATA,230009-Govt. Model Sr.Sec. School,7,28,19,9,0,19,67.86,0
1482,109-JAIPUR,170020-Kendriya Vidyalaya No.1,6,28,28,0,28,0,100,100
1483,115-BHUBANESWAR,T15012-CENTURION PRIVATE ITI,14,28,28,0,28,0,100,100
1484,104-GUWAHATI,440006-Kampur Adarsha High School,6,28,28,0,21,7,100,75
1485,114-DEHRADUN,340259-Shantivallabh Memorial Inter Colleg,9,28,0,28,0,0,0,0
1486,111-ALLAHABAD/PRAYAGRAJ,210338-Bal Mitra School,6,28,16,12,1,15,57.14,3.57
1487,105-CHANDIGARH,050096-Shri Ram Sr. Sec. School,6,28,28,0,6,22,100,21.43
1488,115-BHUBANESWAR,150183-Barrk's High School,5,28,20,8,14,6,71.43,50
1489,105-CHANDIGARH,160162-Shakargarh DAV Sr. Sec. School,8,28,27,1,27,0,96.43,96.43
1490,114-DEHRADUN,340214-Kendriya  Vidyalaya,6,28,0,28,0,0,0,0
1491,115-BHUBANESWAR,M41083-Syed Seminary High School,6,28,27,1,24,3,96.43,85.71
1492,111-ALLAHABAD/PRAYAGRAJ,210273-Aliganj Montessori School,12,28,25,3,24,1,89.29,85.71
1493,114-DEHRADUN,340288-P.S. Model Hr. Secondary School,6,28,28,0,28,0,100,100
1494,111-ALLAHABAD/PRAYAGRAJ,210759-MUKULARANYAM ENGLISH SCHOOL,9,28,24,4,22,2,85.71,78.57
1495,107-DELHI,270385-NEW OXFORD PUBLIC SCHOOL,6,28,0,28,0,0,0,0
1496,109-JAIPUR,170412-N.V.N Sr. Sec School,5,27,22,5,5,17,81.48,18.52
1497,114-DEHRADUN,340268-GOVT. INTER COLLEGE,7,27,0,27,0,0,0,0
1498,118-GANDHINAGAR,040082-S.V Public School,5,27,27,0,25,2,100,92.59
1499,105-CHANDIGARH,050639-Hare Krishna International Sr. Sec. School,6,27,27,0,11,16,100,40.74
1500,102-PUNE,M11067-St.paul's English School&jr.college,5,27,27,0,27,0,100,100
1501,107-DELHI,M38357-Victoria Public Senior Secondary School,9,27,11,16,5,6,40.74,18.52
1502,118-GANDHINAGAR,040079-P R Mukhi Sec. & Hr. Sec. School,6,27,27,0,20,7,100,74.07
1503,107-DELHI,270168-Govt. Boys Sr. Sec. School,6,27,0,27,0,0,0,0
1504,117-BENGALURU,080063-SRS Pre-University College,5,27,27,0,12,15,100,44.44
1505,118-GANDHINAGAR,040077-Genius English Medium School,8,27,27,0,20,7,100,74.07
1506,107-DELHI,270487-Army Public School,7,27,0,27,0,0,0,0
1507,104-GUWAHATI,020034-Kendriya Vidyalaya,7,27,26,1,20,6,96.3,74.07
1508,118-GANDHINAGAR,040033-Bright High School,7,27,27,0,12,15,100,44.44
1509,103-KOLKATA,220041-Vidyasagar Higher Secondary School,5,27,27,0,27,0,100,100
1510,105-CHANDIGARH,050166-Holy Angel High School,7,26,26,0,26,0,100,100
1511,111-ALLAHABAD/PRAYAGRAJ,M21001-Faiz-e-aam Modern Education Centre,5,26,17,9,8,9,65.38,30.77
1512,105-CHANDIGARH,160105-Saraswati Vidya Mandir Senior,5,26,26,0,17,9,100,65.38
1513,107-DELHI,450148-TAMANA SPECIAL SCHOOL,7,26,26,0,26,0,100,100
1514,115-BHUBANESWAR,150175-C.s.b. Zilla School,6,26,23,3,13,10,88.46,50
1515,105-CHANDIGARH,160142-S.D. Public School,6,26,26,0,17,9,100,65.38
1516,115-BHUBANESWAR,150015-S.aurobindo Integral Edu.& Res.cen.,5,26,26,0,23,3,100,88.46
1517,121-CHENNAI,190026-Swami Sivananda Vidya Samiti,9,26,26,0,23,3,100,88.46
1518,107-DELHI,270478-Jr Public School,5,26,26,0,26,0,100,100
1519,117-BENGALURU,450024-Asha Kiran Special Needs School,6,26,26,0,26,0,100,100
1520,107-DELHI,270514-RD INTERNATIONAL SCHOOL,6,26,0,26,0,0,0,0
1521,107-DELHI,270375-Bal Vidya Mandir Model School,6,26,26,0,26,0,100,100
1522,120-RANCHI,260199-Kids Garden Secondary School,6,26,26,0,26,0,100,100
1523,120-RANCHI,260087-Jawahar Navodaya Vidyalaya,5,26,0,26,0,0,0,0
1524,111-ALLAHABAD/PRAYAGRAJ,"210282-Shishu Vidya Peeth Inter College,",5,26,16,10,7,9,61.54,26.92
1525,122-DHARAMSALA,060015-Govt.(b) Sr. Sec. School,6,26,21,5,1,20,80.77,3.85
1526,116-VISAKHAPATNAM,010167-Kendriya Vidyalaya,7,26,23,3,23,0,88.46,88.46
1527,114-DEHRADUN,M21389-Ale Mansoob Inter College,6,26,0,26,0,0,0,0
1528,105-CHANDIGARH,050586-SKYPATH GLOBAL SCHOOL,6,26,26,0,2,24,100,7.69
1529,122-DHARAMSALA,060099-Rudra International School,5,26,0,26,0,0,0,0
1530,110-PATNA,"030334-+2 Li Academy,",6,26,17,9,4,13,65.38,15.38
1531,123-GANGTOK,220118-Little Flower School,7,26,26,0,26,0,100,100
1532,109-JAIPUR,170097-Kendriya Vidyalaya No-6,6,26,21,5,5,16,80.77,19.23
1533,103-KOLKATA,460518-Rajasthan Vidyapith,6,26,0,26,0,0,0,0
1534,102-PUNE,360133-Ali Yavar Jung National Institute,5,26,26,0,26,0,100,100
1535,111-ALLAHABAD/PRAYAGRAJ,M21492-Madarsa S. Islamia,6,26,26,0,26,0,100,100
1536,121-CHENNAI,190160-Hindustan International School,6,25,24,1,4,20,96,16
1537,113-BHOPAL,M38263-Deniyat Fadeha Madarsa,5,25,25,0,25,0,100,100
1538,114-DEHRADUN,340315-S.B.N Academy,6,25,0,25,0,0,0,0
1539,118-GANDHINAGAR,390161-Shri V D Mayavanshi High School,5,25,25,0,18,7,100,72
1540,105-CHANDIGARH,J16006-Modern Central Jail,4,25,25,0,12,13,100,48
1541,114-DEHRADUN,340164-Anandale Public School,5,25,0,25,0,0,0,0
1542,104-GUWAHATI,140033-CHARITY RESIDENTIAL SCHOOL,5,25,25,0,10,15,100,40
1543,107-DELHI,050538-BALAJI PUBLIC SCHOOL,6,25,0,25,0,0,0,0
1544,118-GANDHINAGAR,040070-The New Tulip International Schools,5,25,20,5,14,6,80,56
1545,118-GANDHINAGAR,390052-St. Xavier's High School,5,25,25,0,25,0,100,100
1546,113-BHOPAL,J10005-District Jail,5,25,25,0,0,25,100,0
1547,111-ALLAHABAD/PRAYAGRAJ,210684-R.a. Inter College,5,25,16,9,8,8,64,32
1548,122-DHARAMSALA,060035-Govt. Senior Secondary School,5,25,25,0,23,2,100,92
1549,107-DELHI,270471-Chhotu Ram Public School,7,25,0,25,0,0,0,0
1550,110-PATNA,030178-Kendriya Vidyalaya,6,25,25,0,24,1,100,96
1551,111-ALLAHABAD/PRAYAGRAJ,210157-Aditya Birla Intermediate College Renukoot,6,25,25,0,6,19,100,24
1552,110-PATNA,030057-Jawahar Navodaya Vidyalaya,5,25,17,8,0,17,68,0
1553,117-BENGALURU,080060-Air Force School,6,25,25,0,19,6,100,76
1554,107-DELHI,450167-Institute Of Rehabilitation,6,25,25,0,25,0,100,100
1555,105-CHANDIGARH,160155-Mount Litera Zee School,5,25,25,0,25,0,100,100
1556,106-KOCHI,090052-Kendriya Vidyaloaya No-1,7,24,24,0,21,3,100,87.5
